id,chapter,source,source_start_line,source_end_line,quote,verification
ulysses-06-Q03,research/ulysses/episode-06.md,sources/ulysses-06.txt,1174,1174,Poor Dignam! His last lie on the earth in his box.,exact after whitespace normalization
ulysses-07-Q01,research/ulysses/episode-07.md,sources/ulysses-07.txt,4,4,IN THE HEART OF THE HIBERNIAN METROPOLIS,exact after whitespace normalization
ulysses-07-Q02,research/ulysses/episode-07.md,sources/ulysses-07.txt,687,687,Begone! he said. The world is before you.,exact after whitespace normalization
ulysses-07-Q03,research/ulysses/episode-07.md,sources/ulysses-07.txt,1082,1082,Nightmare from which you will never awake.,exact after whitespace normalization
ulysses-08-Q01,research/ulysses/episode-08.md,sources/ulysses-08.txt,13,13,Heart to heart talks.,exact after whitespace normalization
ulysses-08-Q02,research/ulysses/episode-08.md,sources/ulysses-08.txt,83,84,The hungry famished gull Flaps o’er the waters dull.,exact after whitespace normalization
ulysses-08-Q03,research/ulysses/episode-08.md,sources/ulysses-08.txt,834,834,A warm human plumpness settled down on his brain. His brain yielded.,exact after whitespace normalization
ulysses-09-Q01,research/ulysses/episode-09.md,sources/ulysses-09.txt,1174,1175,"A father, Stephen said, battling against hopelessness, is a necessary evil.",exact after whitespace normalization
ulysses-09-Q02,research/ulysses/episode-09.md,sources/ulysses-09.txt,1184,1185,"Fatherhood, in the sense of conscious begetting, is unknown to man.",exact after whitespace normalization
ulysses-09-Q03,research/ulysses/episode-09.md,sources/ulysses-09.txt,1645,1646,The most beautiful book that has come out of our country in my time. One thinks of Homer.,exact after whitespace normalization
ulysses-10-Q01,research/ulysses/episode-10.md,sources/ulysses-10.txt,4,5,"The superior, the very reverend John Conmee S. J. reset his smooth watch in his interior pocket as he came down the presbytery steps.",exact after whitespace normalization
ulysses-10-Q02,research/ulysses/episode-10.md,sources/ulysses-10.txt,417,418,"A skiff, a crumpled throwaway, Elijah is coming, rode lightly down the Liffey, under Loopline bridge",exact after whitespace normalization
ulysses-10-Q03,research/ulysses/episode-10.md,sources/ulysses-10.txt,1858,1859,"a pedestrian in a brown macintosh, eating dry bread, passed swiftly and unscathed across the viceroy’s path.",exact after whitespace normalization
ulysses-11-Q01,research/ulysses/episode-11.md,sources/ulysses-11.txt,4,4,"Bronze by gold heard the hoofirons, steelyringing.",exact after whitespace normalization
ulysses-11-Q02,research/ulysses/episode-11.md,sources/ulysses-11.txt,426,426,Jingle jaunty jingle.,exact after whitespace normalization
ulysses-11-Q03,research/ulysses/episode-11.md,sources/ulysses-11.txt,89,89,All gone. All fallen.,exact after whitespace normalization
